 ,X,Y,Angle,Length,Video,Species,Sex
1,1142.75,156.5,-20.704,67.884,CF_FF1,CF,F
2,767.167,802.333,-88.775,62.348,CF_FF1,CF,F
3,1100.667,1000.333,13.962,62.17,CF_FF2,CF,F
4,1150.75,674.5,-72.699,63.891,CF_FF2,CF,F
5,1232.75,312.125,-68.81,60.865,CF_FF3,CF,F
6,565.333,335.333,63.563,66.635,CF_FF3,CF,F
7,1424.5,503.833,-79.854,64.339,CF_FF4,CF,F
8,913.875,1012.375,-3.062,60.837,CF_FF4,CF,F
9,1132.667,291.333,54.678,61.689,CF_FF5,CF,F
10,894.25,592,-45.939,64.709,CF_FF5,CF,F
11,1217.375,940.5,27.534,59.488,CF_MM1,CF,M
12,1412,430.875,-62.447,58.37,CF_MM1,CF,M
13,904.25,962.375,-40.576,61.879,CF_MM2,CF,M
14,1095.583,854.583,53.937,59.173,CF_MM2,CF,M
15,1423.667,667.833,50.837,53.309,CF_MM3,CF,M
16,1357.25,315,-58.707,59.682,CF_MM3,CF,M
17,1160,156.625,28.387,56.266,CF_MM4,CF,M
18,1250.125,961.5,25.589,59.041,CF_MM4,CF,M
19,1454.333,300.167,-61.802,62.784,CF_MM5,CF,M
20,632.625,302.5,59.967,55.444,CF_MM5,CF,M
21,488,228.833,56.846,49.37,CG_FF1,CG,F
22,949.5,935.833,-1.848,41.355,CG_FF1,CG,F
23,423.583,724.667,9.951,48.225,CG_FF2,CG,F
24,516.625,825.5,-54.307,53.561,CG_FF2,CG,F
25,463.5,493.917,35.443,58.918,CG_FF3,CG,F
26,1269.75,728.125,53.371,59.501,CG_FF3,CG,F
27,469,785.667,51.033,58.306,CG_FF4,CG,F
28,721.833,984.583,-3.338,60.102,CG_FF4,CG,F
29,760.25,403.833,-37.526,55.27,CG_FF5,CG,F
30,1202.167,605,27.121,61.42,CG_FF5,CG,F
31,976.333,73.417,-27.605,49.276,CG_MM1,CG,M
32,456.167,587.667,-53.205,51.2,CG_MM1,CG,M
33,897.417,87.083,-9.035,47.759,CG_MM2,CG,M
34,669.583,121.417,43.596,48.098,CG_MM2,CG,M
35,704.5,230.562,12.777,46.912,CG_MM3,CG,M
36,1045.562,538.688,-34.174,45.175,CG_MM3,CG,M
37,755.625,990.188,-7.586,53.972,CG_MM4,CG,M
38,615.625,183.125,42.217,50.972,CG_MM4,CG,M
39,1348.438,331.312,-71.984,43.245,CG_MM5,CG,M
40,793.25,1018.75,5.742,44.976,CG_MM5,CG,M
